feature,marketshare,trackedMarketShare
css-counters,97.78,100
css-sel2,97.78,100
css-table,97.78,100
css3-boxsizing,97.78,100
inline-block,97.78,100
json,97.78,100
minmaxwh,97.78,100
png-alpha,97.78,100
text-overflow,97.78,100
element-from-point,97.77,99.99
readonly-attr,97.77,99.99
addeventlistener,97.75,99.97
css-first-line,97.75,99.97
css-gencontent,97.75,99.97
css-mediaqueries,97.75,99.97
css-namespaces,97.75,99.97
css-opacity,97.75,99.97
css-sel3,97.75,99.97
css3-colors,97.75,99.97
currentcolor,97.75,99.97
dom-range,97.75,99.97
domcontentloaded,97.75,99.97
getelementsbyclassname,97.75,99.97
img-naturalwidth-naturalheight,97.75,99.97
innertext,97.75,99.97
insert-adjacent,97.75,99.97
multibackgrounds,97.75,99.97
queryselector,97.75,99.97
xhtml,97.75,99.97
css-first-letter,97.74,99.96
dispatchevent,97.74,99.96
documenthead,97.74,99.96
sni,97.74,99.96
svg-html5,97.74,99.96
textcontent,97.74,99.96
getboundingclientrect,97.73,99.95
atob-btoa,97.7,99.92
console-time,97.7,99.92
rem,97.7,99.92
devicepixelratio,97.69,99.91
form-submit-attributes,97.69,99.91
hidden,97.69,99.91
input-search,97.69,99.91
insertadjacenthtml,97.69,99.91
matchmedia,97.69,99.91
typedarrays,97.68,99.9
use-strict,97.68,99.9
input-placeholder,97.64,99.85
css-background-offsets,97.59,99.8
svg-img,97.58,99.79
svg-filters,97.56,99.77
progress,97.54,99.75
background-repeat-round-space,97.44,99.65
comparedocumentposition,97.32,99.53
tls1-2,97.31,99.52
document-evaluate-xpath,97.3,99.51
x-doc-messaging,97.3,99.51
datauri,97.29,99.5
form-attribute,97.29,99.5
wbr-element,97.29,99.5
svg,97.17,99.37
customevent,97.16,99.36
flexbox,97.15,99.35
vector-effect,97.15,99.35
css-featurequeries,97.13,99.33
ol-reversed,97.13,99.33
meter,97.08,99.28
object-fit,96.86,99.06
hashchange,96.73,98.92
namevalue-storage,96.73,98.92
contenteditable,96.72,98.91
border-radius,96.7,98.89
canvas-text,96.7,98.89
css-fixed,96.7,98.89
geolocation,96.7,98.89
input-selection,96.7,98.89
transforms2d,96.7,98.89
canvas,96.69,98.88
css-boxshadow,96.69,98.88
fontface,96.69,98.88
audio,96.68,98.87
console-basic,96.68,98.87
document-execcommand,96.68,98.87
getcomputedstyle,96.68,98.87
mp3,96.68,98.87
online-status,96.68,98.87
video,96.68,98.87
svg-css,96.67,98.86
css-textshadow,96.65,98.84
nav-timing,96.65,98.84
pointer-events,96.65,98.84
user-select-none,96.65,98.84
css-optional-pseudo,96.64,98.83
css-repeating-gradients,96.64,98.83
css-transitions,96.64,98.83
dataset,96.64,98.83
iframe-sandbox,96.64,98.83
input-email-tel-url,96.64,98.83
input-event,96.64,98.83
maxlength,96.64,98.83
page-transition-events,96.64,98.83
script-async,96.64,98.83
script-defer,96.64,98.83
bloburls,96.63,98.82
css-animation,96.63,98.82
background-position-x-y,96.62,98.81
focusin-focusout-events,96.61,98.8
history,96.57,98.76
css-letter-spacing,96.56,98.75
input-range,96.56,98.75
woff,96.56,98.75
background-img-opts,96.55,98.74
keyboardevent-location,96.53,98.72
webworkers,96.52,98.71
channel-messaging,96.51,98.7
cors,96.5,98.69
es5,96.5,98.69
filereadersync,96.5,98.69
mutationobserver,96.5,98.69
pagevisibility,96.5,98.69
requestanimationframe,96.5,98.69
stricttransportsecurity,96.5,98.69
websockets,96.5,98.69
getrandomvalues,96.49,98.68
webvtt,96.49,98.68
high-resolution-time,96.48,98.67
xml-serializer,96.48,98.67
font-feature,96.47,98.66
link-icon-png,96.45,98.64
keyboardevent-charcode,96.4,98.59
indeterminate-checkbox,96.38,98.57
keyboardevent-key,96.35,98.54
svg-fragment,96.28,98.46
mpeg4,96.27,98.45
keyboardevent-getmodifierstate,96.26,98.44
word-break,96.26,98.44
blobbuilder,96.25,98.43
outline,96.25,98.43
ttf,96.25,98.43
webgl,96.25,98.43
css-initial-value,96.24,98.42
rel-noreferrer,96.24,98.42
transforms3d,96.24,98.42
wav,96.24,98.42
css-writing-mode,96.23,98.41
filereader,96.23,98.41
text-stroke,96.23,98.41
input-pattern,96.22,98.4
background-clip-text,96.21,98.39
svg-smil,96.21,98.39
details,96.19,98.37
resource-timing,96.16,98.34
user-timing,96.16,98.34
form-validation,96.14,98.32
internationalization,96.13,98.31
contentsecuritypolicy,96.11,98.29
eventsource,96.11,98.29
fieldset-disabled,96.11,98.29
kerning-pairs-ligatures,96.11,98.29
canvas-blending,96.1,98.28
ch-unit,96.1,98.28
childnode-remove,96.1,98.28
classlist,96.1,98.28
html5semantic,96.1,98.28
document-currentscript,96.09,98.27
css-filters,96.08,98.26
css-rebeccapurple,96.08,98.26
iframe-srcdoc,96.08,98.26
promises,96.08,98.26
template,96.08,98.26
url,96.08,98.26
viewport-units,96.08,98.26
xhr2,96.08,98.26
css-line-clamp,96.07,98.25
font-kerning,96.07,98.25
css-all,96.05,98.23
localecompare,96,98.18
wordwrap,95.98,98.16
css-any-link,95.96,98.14
audio-api,95.86,98.03
calc,95.86,98.03
cryptography,95.84,98.01
css-read-only-write,95.84,98.01
es6-number,95.84,98.01
border-image,95.83,98
css-font-stretch,95.83,98
picture,95.82,97.99
will-change,95.81,97.98
es6-string-includes,95.8,97.97
fileapi,95.8,97.97
css-unset-value,95.79,97.96
template-literals,95.79,97.96
css-supports-api,95.77,97.94
document-scrollingelement,95.76,97.93
matchesselector,95.71,97.88
css-shapes,95.66,97.83
element-closest,95.66,97.83
array-find,95.65,97.82
array-find-index,95.65,97.82
array-includes,95.65,97.82
es6-class,95.6,97.77
input-color,95.6,97.77
http2,95.59,97.76
css-case-insensitive,95.58,97.75
woff2,95.57,97.74
es6-generators,95.56,97.73
font-loading,95.56,97.73
css-backgroundblendmode,95.55,97.72
hardwareconcurrency,95.55,97.72
textencoder,95.55,97.72
font-variant-numeric,95.54,97.71
css-crisp-edges,95.53,97.7
css-placeholder-shown,95.53,97.7
contentsecuritypolicy2,95.52,97.69
fetch,95.52,97.69
upgradeinsecurerequests,95.52,97.69
css-media-interaction,95.5,97.67
rtcpeerconnection,95.5,97.67
gamepad,95.49,97.66
apng,95.48,97.65
chacha20-poly1305,95.47,97.64
beacon,95.46,97.62
constraint-validation,95.45,97.61
css-indeterminate-pseudo,95.43,97.59
font-unicode-range,95.43,97.59
download,95.41,97.57
arrow-functions,95.39,97.55
rest-parameters,95.39,97.55
rellist,95.37,97.53
css-text-orientation,95.36,97.52
proxy,95.36,97.52
css-variables,95.35,97.51
urlsearchparams,95.34,97.5
serviceworkers,95.33,97.49
input-minlength,95.31,97.47
const,95.3,97.46
css-default-pseudo,95.3,97.46
path2d,95.3,97.46
eme,95.29,97.45
let,95.29,97.45
subresource-integrity,95.29,97.45
colr,95.27,97.43
object-entries,95.27,97.43
object-values,95.27,97.43
brotli,95.25,97.41
indexeddb,95.24,97.4
rel-noopener,95.23,97.39
css-placeholder,95.22,97.38
flac,95.22,97.38
pad-start-end,95.22,97.38
css-grid,95.21,97.37
passive-event-listener,95.21,97.37
dom-manip-convenience,95.19,97.35
once-event-listener,95.19,97.35
css-in-out-of-range,95.18,97.34
es6,95.16,97.32
stream,95.16,97.32
async-functions,95.13,97.29
indexeddb2,95.11,97.27
unhandledrejection,95.08,97.24
pointer,95.07,97.23
wasm,95.07,97.23
shadowdomv1,95.06,97.22
css-focus-within,95.04,97.2
css-rrggbbaa,95.01,97.16
link-rel-preload,95,97.15
css-caret-color,94.98,97.13
font-family-system-ui,94.98,97.13
justify-content-space-evenly,94.98,97.13
intersectionobserver,94.94,97.09
es6-module,94.92,97.07
css-font-rendering-controls,94.9,97.05
css-widows-orphans,94.89,97.04
es6-module-dynamic-import,94.89,97.04
variable-fonts,94.89,97.04
promise-finally,94.87,97.02
css3-tabsize,94.86,97.01
abortcontroller,94.85,97
css-snappoints,94.78,96.93
date-tolocaledatestring,94.78,96.93
css-env-function,94.75,96.9
webp,94.75,96.9
array-flat,94.72,96.87
speech-synthesis,94.67,96.82
css-conic-gradients,94.66,96.81
prefers-reduced-motion,94.64,96.79
flow-root,94.62,96.77
datalist,94.61,96.76
tabindex-attr,94.59,96.74
intl-pluralrules,94.51,96.65
css-gradients,94.45,96.59
resizeobserver,94.44,96.58
tls1-3,94.44,96.58
css-backdrop-filter,94.41,96.55
link-rel-preconnect,94.37,96.51
element-scroll-methods,94.24,96.38
css-hyphens,94.21,96.35
bigint,94.19,96.33
prefers-color-scheme,94.07,96.2
mediarecorder,94.06,96.19
css-zoom,93.98,96.11
aac,93.94,96.07
css-revert-value,93.79,95.92
css-math-functions,93.62,95.74
webgl2,93.61,95.73
beforeafterprint,93.58,95.7
css-reflections,93.48,95.6
scrollintoviewifneeded,93.47,95.59
dialog,93.43,95.55
css-image-orientation,93.4,95.52
broadcastchannel,93.39,95.51
ping,93.36,95.48
css-cross-fade,93.35,95.47
css-not-sel-list,93.34,95.46
css-marker-pseudo,93.29,95.41
css-sticky,93.28,95.4
css-containment,93.24,95.35
css-scroll-behavior,93.15,95.26
same-site-cookie-attribute,92.97,95.08
sharedarraybuffer,92.89,95
text-emphasis,92.83,94.94
flexbox-gap,92.71,94.81
dragndrop,92.67,94.77
css-matches-pseudo,92.41,94.51
referrer-policy,92.04,94.13
permissions-api,91.95,94.04
css-text-align-last,91.83,93.91
css-motion-paths,91.67,93.75
webauthn,91.52,93.6
css-logical-props,91.49,93.56
web-animation,91.47,93.54
css-media-resolution,91.44,93.51
css-overscroll-behavior,91.41,93.48
touch,90.71,92.77
css-focus-visible,90.64,92.7
mathml,90.55,92.6
css-cascade-layers,90.45,92.5
payment-request,90.43,92.48
css-touch-action,90.26,92.31
css-appearance,90.21,92.26
scrollintoview,90,92.04
input-inputmode,89.53,91.56
intrinsic-width,89.52,91.55
css-font-palette,89.15,91.17
viewport-unit-variants,88.5,90.51
css-overflow,88.38,90.38
text-size-adjust,87.71,89.7
screen-orientation,87.48,89.46
font-variant-alternates,87.27,89.25
css-container-query-units,87.03,89
js-regexp-lookbehind,87.01,88.98
css-container-queries,86.98,88.95
credential-management,86.84,88.81
css-nth-child-of,86.79,88.76
css-has,86.33,88.29
url-scroll-to-text-fragment,85.9,87.85
css-color-function,84.97,86.9
css-lch-lab,84.97,86.9
import-maps,84.92,86.85
passkeys,84.09,86
loading-lazy-attr,83.86,85.76
avif,83.84,85.74
wake-lock,82.94,84.82
css-media-range-syntax,82.92,84.8
declarative-shadow-dom,82.48,84.35
css-selection,82.36,84.23
autofocus,82.35,84.22
selection-api,82.31,84.18
mediasource,81.72,83.57
css-resize,81.44,83.29
css3-cursors,79.98,81.79
webm,79.8,81.61
notifications,79.73,81.54
background-attachment,79.71,81.52
pointerlock,79.69,81.5
link-rel-dns-prefetch,79.56,81.36
css3-cursors-grab,79.54,81.34
css3-cursors-newer,79.54,81.34
fullscreen,78.09,79.86
do-not-track,77.95,79.72
link-rel-prefetch,76.93,78.67
ogg-vorbis,76.62,78.36
async-clipboard,76.61,78.35
vibration,76.49,78.22
srcset,76.24,77.97
opus,76.12,77.85
push-api,76.12,77.85
css-mixblendmode,76.05,77.77
requestidlecallback,75.89,77.61
auxclick,75.8,77.52
css-overflow-anchor,75.78,77.5
custom-elementsv1,75.61,77.32
midi,75.53,77.24
css-nesting,75.49,77.2
offscreencanvas,75.4,77.11
link-rel-modulepreload,74.78,76.48
sql-storage,74.61,76.3
server-timing,74.03,75.71
http3,73.9,75.58
link-rel-prerender,73.89,75.57
input-datetime,73.75,75.42
streams,73.66,75.33
battery-status,73.59,75.26
css-paged-media,73.49,75.16
link-icon-svg,73.42,75.09
client-hints-dpr-width-viewport,73.3,74.96
background-sync,73.27,74.93
filesystem,73.19,74.85
createimagebitmap,73.14,74.8
imagecapture,73.14,74.8
mediacapture-fromelement,73.05,74.71
web-bluetooth,73.04,74.7
colr-v1,72.94,74.59
webusb,72.89,74.54
sxg,72.75,74.4
intersectionobserver-v2,72.74,74.39
feature-policy,72.57,74.22
webtransport,72.53,74.17
trusted-types,71.82,73.45
css-content-visibility,71.58,73.2
css-paint-api,71.45,73.07
accelerometer,71.41,73.03
gyroscope,71.41,73.03
orientation-sensor,71.41,73.03
cookie-store-api,71.36,72.98
webcodecs,70.71,72.31
av1,70.45,72.05
tls1-1,69.25,70.82
css-image-set,66.85,68.37
view-transitions,65,66.47
web-share,64.23,65.69
css-text-wrap-balance,63.76,65.21
http-live-streaming,61.22,62.61
input-autocomplete-onoff,58.86,60.19
meta-theme-color,57.67,58.98
keyboardevent-which,56.12,57.39
input-file-multiple,54.95,56.2
html-media-capture,54.9,56.15
pdf-viewer,54.44,55.67
keyboardevent-code,54.26,55.49
css-color-adjust,53.47,54.68
sharedworkers,50.94,52.1
picture-in-picture,50.58,51.73
netinfo,41.05,41.98
input-number,40.83,41.76
spellcheck-attribute,40.64,41.56
input-file-accept,40.32,41.23
input-file-directory,40,40.91
webnfc,38.27,39.14
ogv,36.22,37.04
registerprotocolhandler,34.64,35.43
magnetometer,31.95,32.67
web-serial,30.32,31.01
webhid,30.32,31.01
webgpu,25.97,26.56
offline-apps,25.12,25.69
u2f,23.57,24.1
multicolumn,22.42,22.93
spdy,20.72,21.19
hevc,20.46,20.92
css-canvas,20.19,20.65
svg-fonts,20.12,20.58
css-masks,20.03,20.48
audiotracks,20.01,20.46
videotracks,19.62,20.06
jpeg2000,19.61,20.05
css-filter-function,19.58,20.02
css-hanging-punctuation,19.32,19.76
clipboard,19.2,19.64
extended-system-fonts,18.82,19.25
css-subgrid,18.37,18.79
css-text-indent,15.78,16.14
css-dir-pseudo,14.13,14.45
font-size-adjust,14.05,14.37
css-overflow-overlay,11.58,11.84
css-relative-colors,11.39,11.65
webkit-user-drag,5.41,5.53
shadowdom,2.87,2.94
custom-elements,2.79,2.85
asmjs,2.76,2.82
css-element-function,2.75,2.81
svg-html,2.75,2.81
css-boxdecorationbreak,2.74,2.8
proximity,2.74,2.8
ruby,2.74,2.8
imports,2.63,2.69
css-clip-path,2.59,2.65
css-text-justify,2.59,2.65
css-scrollbar,2.58,2.64
webvr,2.45,2.51
sdch,1.87,1.91
run-in,1.69,1.73
css-initial-letter,1.23,1.26
css-page-break,1.05,1.07
css-at-counter-style,1.03,1.05
publickeypinning,0.87,0.89
x-frame-options,0.66,0.67
eot,0.48,0.49
jpegxr,0.46,0.47
css-exclusions,0.41,0.42
ime,0.41,0.42
lazyload,0.41,0.42
setimmediate,0.41,0.42
css-regions,0.37,0.38
ambient-light,0.29,0.3
object-observe,0.25,0.26
style-scoped,0.15,0.15
heif,0.08,0.08
jpegxl,0.08,0.08
deviceorientation,0.02,0.02
mpeg-dash,0.02,0.02
objectrtc,0.02,0.02
css-cascade-scope,0,0
css-container-queries-style,0,0
css-descendant-gtgt,0,0
css-deviceadaptation,0,0
css-display-contents,0,0
css-scroll-timeline,0,0
css-text-box-trim,0,0
css-when-else,0,0
css3-attr,0,0
decorators,0,0
dnssec,0,0
document-policy,0,0
dommatrix,0,0
font-smooth,0,0
iframe-seamless,0,0
media-fragments,0,0
menu,0,0
mutation-events,0,0
native-filesystem-api,0,0
permissions-policy,0,0
portals,0,0
speech-recognition,0,0
temporal,0,0
text-decoration,0,0
wai-aria,0,0
webxr,0,0
xhtmlsmil,0,0
zstd,0,0
