feature,marketshare,keystone,days since keystone,reached 80%,days to 80%,reached 85%,days to 85%,reached 90%,days to 90%,reached 91%,days to 91%,reached 92%,days to 92%,reached 93%,days to 93%,reached 94%,days to 94%,reached 95%,days to 95%,reached 96%,days to 96%,reached 97%,days to 97%,reached 98%,days to 98%,reached 99%,days to 99%
abortcontroller,97.24,2019-04-02,1608,2018-11-06,0,2019-07-08,97,2020-03-05,338,2020-05-08,402,2020-08-11,497,2021-02-05,675,2021-11-04,947,2022-07-03,1188,2022-11-04,1312,2023-06-03,1523,not yet,n/a,not yet,n/a
apng,97.77,2020-01-15,1320,2018-09-04,0,2019-02-03,0,2020-03-05,50,2020-05-08,114,2020-08-04,202,2020-09-04,233,2020-11-05,295,2021-11-04,659,2022-07-03,900,2022-12-09,1059,not yet,n/a,not yet,n/a
array-find,97.92,2017-04-11,2329,2018-08-30,506,2018-08-30,506,2018-08-30,506,2018-10-03,540,2019-01-04,633,2019-05-03,752,2019-09-05,877,2020-01-03,997,2020-05-08,1123,2022-07-03,1909,not yet,n/a,not yet,n/a
array-find-index,97.92,2016-12-16,2445,2020-06-21,1283,2020-06-21,1283,2020-06-21,1283,2020-06-21,1283,2020-06-21,1283,2020-06-21,1283,2020-06-21,1283,2020-06-21,1283,2020-07-17,1309,2022-07-03,2025,not yet,n/a,not yet,n/a
array-flat,97.16,2020-01-15,1320,2019-09-05,0,2019-12-04,0,2020-08-04,202,2020-10-03,262,2021-02-05,387,2021-09-04,598,2022-02-04,751,2022-07-03,900,2023-06-03,1235,2023-06-03,1235,not yet,n/a,not yet,n/a
array-includes,97.9,2016-12-16,2445,2018-03-13,452,2018-03-13,452,2018-06-04,535,2018-11-06,690,2019-03-03,807,2019-07-05,931,2019-11-04,1053,2020-02-04,1145,2020-11-05,1420,2023-06-03,2360,not yet,n/a,not yet,n/a
arrow-functions,97.81,2016-12-16,2445,2018-02-07,418,2018-02-07,418,2018-08-03,595,2018-11-06,690,2019-04-03,838,2019-07-05,931,2019-12-04,1083,2020-02-04,1145,2020-11-05,1420,2022-07-03,2025,not yet,n/a,not yet,n/a
async-functions,97.51,2017-10-31,2126,2018-02-07,99,2018-02-07,99,2019-03-03,488,2019-07-05,612,2019-11-04,734,2020-01-03,794,2020-03-05,856,2021-02-05,1193,2022-07-03,1706,2023-06-03,2041,not yet,n/a,not yet,n/a
audio-api,98.17,2021-04-26,853,2017-05-03,0,2018-02-07,0,2018-02-07,0,2018-02-07,0,2018-03-05,0,2018-10-03,0,2019-03-16,0,2019-09-05,0,2020-02-04,0,2020-11-05,0,2023-06-03,768,not yet,n/a
background-position-x-y,98.92,2016-09-20,2532,2016-01-14,0,2016-01-14,0,2016-11-03,44,2016-11-03,44,2016-11-03,44,2016-11-03,44,2017-02-02,135,2017-03-05,166,2017-09-04,349,2018-11-06,777,2019-11-04,1140,not yet,n/a
background-repeat-round-space,99.59,2016-09-20,2532,2017-03-20,181,2017-03-20,181,2017-04-15,207,2017-04-15,207,2017-04-15,207,2017-04-15,207,2017-04-15,207,2017-04-15,207,2017-04-15,207,2017-05-03,225,2018-02-05,503,2021-02-05,1599
beacon,97.91,2018-03-29,1977,2018-05-06,38,2018-06-04,67,2018-12-04,250,2019-01-04,281,2019-05-03,400,2019-07-05,463,2019-12-04,615,2020-02-04,677,2021-02-05,1044,2022-07-03,1557,not yet,n/a,not yet,n/a
bigint,96.43,2020-09-16,1075,2020-10-03,17,2020-12-04,79,2021-04-04,200,2021-08-05,323,2021-12-03,443,2022-07-03,655,2022-09-19,733,2023-04-04,930,2023-06-03,990,not yet,n/a,not yet,n/a,not yet,n/a
bloburls,98.91,2017-04-11,2329,2014-02-02,0,2014-08-02,0,2015-03-06,0,2015-04-02,0,2016-02-03,0,2016-07-03,0,2016-11-03,0,2017-02-02,0,2017-05-03,22,2018-11-06,574,2020-02-04,1029,not yet,n/a
border-image,98.05,2022-03-14,531,2014-11-02,0,2015-02-02,0,2016-03-03,0,2016-07-03,0,2020-01-03,0,2020-02-04,0,2020-04-15,0,2020-10-03,0,2022-06-07,85,2022-09-24,194,2023-06-03,446,not yet,n/a
border-radius,99.06,2016-11-15,2476,2012-06-07,0,2012-12-03,0,2014-03-02,0,2014-05-05,0,2014-09-03,0,2014-11-02,0,2015-04-02,0,2016-11-03,0,2017-03-05,110,2018-03-05,475,2019-03-16,851,2020-04-15,1247
broadcastchannel,95.32,2022-03-14,531,2022-04-05,22,2022-06-07,85,2022-07-03,111,2022-07-03,111,2022-09-02,172,2022-11-04,235,2023-04-04,386,2023-06-03,446,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a
brotli,97.65,2019-09-19,1438,2018-02-07,0,2018-03-05,0,2019-03-03,0,2019-06-04,0,2019-07-05,0,2019-12-04,76,2020-02-04,138,2020-11-05,413,2022-02-04,869,2023-06-03,1353,not yet,n/a,not yet,n/a
chacha20-poly1305,97.91,2020-01-15,1320,2018-10-03,0,2019-07-05,0,2019-09-05,0,2019-09-05,0,2019-12-04,0,2020-03-05,50,2020-07-17,184,2020-10-03,262,2021-08-05,568,2023-06-03,1235,not yet,n/a,not yet,n/a
comparedocumentposition,99.61,2016-09-20,2532,2016-10-12,22,2016-12-03,74,2017-04-15,207,2017-04-15,207,2017-04-15,207,2017-04-15,207,2017-04-15,207,2017-04-15,207,2017-04-15,207,2017-07-05,288,2018-06-04,622,2020-03-05,1262
const,97.7,2017-09-19,2168,2017-09-04,0,2018-02-07,141,2018-02-07,141,2018-02-07,141,2018-05-06,229,2018-10-03,379,2019-03-03,530,2019-07-05,654,2021-02-05,1235,2023-06-03,2083,not yet,n/a,not yet,n/a
constraint-validation,97.86,2018-04-30,1945,2017-07-19,0,2017-07-19,0,2018-08-03,95,2018-11-06,190,2019-03-16,320,2019-07-08,434,2019-12-04,583,2020-03-05,675,2020-11-05,920,2022-07-03,1525,not yet,n/a,not yet,n/a
contentsecuritypolicy2,97.95,2020-01-15,1320,2018-11-06,0,2019-12-04,0,2020-10-03,262,2021-07-04,536,2021-11-04,659,2022-04-02,808,2022-04-02,808,2022-04-02,808,2022-07-03,900,2022-12-09,1059,not yet,n/a,not yet,n/a
cryptography,98.14,2020-01-15,1320,2017-04-15,0,2017-04-15,0,2017-10-05,0,2018-05-16,0,2018-10-03,0,2019-01-04,0,2019-07-05,0,2019-12-04,0,2020-03-05,50,2021-11-04,659,2023-06-03,1235,not yet,n/a
css-all,98.35,2020-01-15,1320,2017-04-15,0,2017-04-15,0,2018-08-03,0,2019-01-04,0,2019-07-05,0,2019-12-04,0,2020-03-05,50,2020-08-04,202,2020-10-03,262,2021-11-04,659,2023-06-03,1235,not yet,n/a
css-any-link,98.25,2020-01-15,1320,2020-03-23,68,2020-03-23,68,2020-03-23,68,2020-03-23,68,2020-03-23,68,2020-03-23,68,2020-03-23,68,2020-07-05,172,2020-09-04,233,2021-04-04,445,2023-06-03,1235,not yet,n/a
css-backgroundblendmode,98.01,2020-01-15,1320,2018-09-21,0,2018-09-21,0,2019-01-04,0,2019-07-05,0,2019-09-05,0,2020-01-03,0,2020-07-05,172,2020-08-04,202,2021-02-05,387,2022-07-03,900,2023-06-03,1235,not yet,n/a
css-caret-color,97.34,2020-01-15,1320,2018-11-18,0,2018-12-04,0,2019-12-04,0,2020-03-05,50,2020-05-25,131,2020-08-04,202,2020-10-03,262,2021-10-03,627,2022-07-03,900,2023-06-03,1235,not yet,n/a,not yet,n/a
css-cascade-layers,92.09,2022-08-05,387,2022-06-07,0,2022-08-04,0,2023-04-04,242,2023-06-03,302,2023-06-03,302,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a
css-case-insensitive,97.83,2020-01-15,1320,2018-02-07,0,2018-02-07,0,2019-03-03,0,2019-07-05,0,2019-12-04,0,2020-03-05,50,2020-07-05,172,2020-09-04,233,2021-08-05,568,2023-06-03,1235,not yet,n/a,not yet,n/a
css-conic-gradients,97.1,2020-11-17,1013,2019-12-04,0,2020-07-05,0,2021-01-04,48,2021-01-04,48,2021-08-05,261,2021-11-04,352,2022-07-03,593,2022-09-19,671,2023-06-03,928,2023-06-03,928,not yet,n/a,not yet,n/a
css-container-queries,88.79,2023-02-26,182,2023-03-03,5,2023-04-04,37,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a
css-container-query-units,88.88,2023-02-26,182,2023-02-25,0,2023-04-04,37,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a
css-containment,95.16,2022-03-14,531,2022-05-05,52,2022-06-07,85,2022-07-03,111,2022-07-03,111,2022-09-02,172,2022-11-04,235,2023-06-03,446,2023-06-03,446,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a
css-default-pseudo,97.71,2020-01-15,1320,2018-09-04,0,2019-03-03,0,2020-03-05,50,2020-05-08,114,2020-07-17,184,2020-09-04,233,2020-11-05,295,2021-11-04,659,2022-07-03,900,2023-06-03,1235,not yet,n/a,not yet,n/a
css-env-function,97.18,2020-01-15,1320,2019-03-03,0,2019-12-04,0,2020-08-04,202,2020-09-04,233,2020-11-05,295,2021-08-05,568,2022-02-04,751,2022-07-03,900,2023-06-03,1235,2023-06-03,1235,not yet,n/a,not yet,n/a
css-filters,98.4,2020-01-15,1320,2016-01-02,0,2016-10-03,0,2017-08-04,0,2017-09-04,0,2019-01-04,0,2019-09-05,0,2020-03-05,50,2020-07-05,172,2020-09-04,233,2021-04-04,445,2023-06-03,1235,not yet,n/a
css-focus-visible,93.23,2022-03-14,531,2022-05-05,52,2022-06-07,85,2022-09-02,172,2022-11-04,235,2023-04-04,386,2023-06-03,446,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a
css-focus-within,97.41,2020-01-15,1320,2018-10-03,0,2020-02-04,20,2020-05-08,114,2020-07-05,172,2020-08-04,202,2020-10-03,262,2021-08-05,568,2022-07-03,900,2022-09-19,978,2023-06-03,1235,not yet,n/a,not yet,n/a
css-font-palette,91.77,2022-11-15,285,2022-10-04,0,2022-12-09,24,2023-06-03,200,2023-06-03,200,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a
css-font-rendering-controls,97.27,2020-01-15,1320,2018-12-04,0,2019-09-05,0,2020-07-05,172,2020-08-04,202,2020-10-03,262,2021-02-05,387,2021-11-04,659,2022-07-03,900,2022-10-04,993,2023-06-03,1235,not yet,n/a,not yet,n/a
css-font-stretch,98.21,2017-09-19,2168,2018-02-07,141,2020-07-05,1020,2021-04-27,1316,2021-04-27,1316,2021-04-27,1316,2021-04-27,1316,2021-04-27,1316,2021-04-27,1316,2021-04-27,1316,2021-04-27,1316,2023-06-03,2083,not yet,n/a
css-gradients,96.4,2022-03-14,531,2013-08-03,0,2014-05-05,0,2014-11-02,0,2015-02-12,0,2015-04-02,0,2016-03-03,0,2016-10-03,0,2017-02-02,0,2017-04-03,0,not yet,n/a,not yet,n/a,not yet,n/a
css-grid,97.6,2017-10-31,2126,2018-02-07,99,2018-03-05,125,2019-03-03,488,2019-07-05,612,2019-09-05,674,2019-12-04,764,2020-03-05,856,2020-10-03,1068,2022-02-04,1557,2023-06-03,2041,not yet,n/a,not yet,n/a
css-image-orientation,95.22,2021-08-16,741,2020-11-05,0,2021-01-04,0,2021-07-04,0,2021-08-05,0,2021-12-03,109,2022-07-03,321,2022-11-04,445,2023-06-03,656,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a
css-in-out-of-range,97.57,2020-01-15,1320,2016-02-08,0,2016-04-02,0,2019-09-05,0,2019-12-04,0,2020-03-05,50,2020-07-05,172,2020-08-11,209,2021-02-05,387,2022-02-04,751,2023-06-03,1235,not yet,n/a,not yet,n/a
css-indeterminate-pseudo,97.85,2020-01-15,1320,2017-06-04,0,2017-09-04,0,2019-03-03,0,2019-07-08,0,2019-12-04,0,2020-03-05,50,2020-08-04,202,2020-09-04,233,2021-02-05,387,2022-07-03,900,not yet,n/a,not yet,n/a
css-logical-props,93.24,2021-09-20,706,2019-10-06,0,2020-01-03,0,2020-08-04,0,2020-10-03,0,2023-06-03,621,2023-06-03,621,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a
css-matches-pseudo,94.37,2021-08-16,741,2021-03-04,0,2021-07-04,0,2022-01-04,141,2022-06-07,295,2022-09-02,382,2023-06-03,656,2023-06-03,656,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a
css-math-functions,95.38,2020-06-30,1153,2020-08-04,35,2020-10-03,95,2021-04-04,278,2021-08-05,401,2021-11-04,492,2022-07-03,733,2022-11-04,857,2023-06-03,1068,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a
css-media-interaction,97.75,2018-12-11,1720,2017-09-04,0,2018-06-04,0,2019-02-03,54,2019-03-03,82,2019-07-05,206,2019-11-04,328,2020-01-03,388,2020-03-05,450,2021-02-05,787,2023-06-03,1635,not yet,n/a,not yet,n/a
css-media-range-syntax,81.95,2023-03-27,153,2023-06-03,68,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a
css-media-resolution,92.7,2022-09-12,349,2018-03-05,0,2022-12-09,88,2023-03-03,172,2023-04-04,204,2023-06-03,264,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a
css-motion-paths,92.91,2022-09-12,349,2022-10-04,22,2022-12-09,88,2023-03-03,172,2023-04-04,204,2023-06-03,264,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a
css-not-sel-list,95.3,2021-08-16,741,2021-03-04,0,2021-04-04,0,2021-10-03,48,2021-11-04,80,2021-12-03,109,2022-07-03,321,2022-12-09,480,2023-06-03,656,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a
css-overflow,90.43,2022-09-12,349,2022-11-04,53,2023-02-08,149,2023-06-03,264,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a
css-overscroll-behavior,92.64,2022-09-12,349,2022-10-04,22,2022-12-09,88,2023-03-03,172,2023-04-04,204,2023-06-03,264,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a
css-placeholder,97.62,2020-01-15,1320,2018-02-07,0,2018-08-03,0,2019-07-05,0,2019-12-04,0,2020-03-05,50,2020-07-05,172,2020-08-04,202,2020-11-05,295,2021-11-04,659,2023-06-03,1235,not yet,n/a,not yet,n/a
css-placeholder-shown,97.75,2020-01-15,1320,2018-02-07,0,2018-02-07,0,2019-07-05,0,2019-09-05,0,2019-12-04,0,2020-03-05,50,2020-07-17,184,2020-09-04,233,2021-10-03,627,2023-06-03,1235,not yet,n/a,not yet,n/a
css-read-only-write,98.13,2020-06-30,1153,2018-02-10,0,2018-02-10,0,2018-02-10,0,2018-03-05,0,2018-10-03,0,2019-01-04,0,2019-07-05,0,2019-09-05,0,2020-02-04,0,2021-08-05,401,2023-06-03,1068,not yet,n/a
css-revert-value,95.59,2021-04-16,863,2020-09-04,0,2020-10-03,0,2021-06-04,49,2021-07-04,79,2021-09-04,141,2021-11-04,202,2022-07-03,443,2023-06-03,778,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a
css-rrggbbaa,97.39,2020-01-15,1320,2018-10-03,0,2019-07-05,0,2020-05-08,114,2020-08-04,202,2020-09-04,233,2020-11-05,295,2021-11-04,659,2022-07-03,900,2022-09-19,978,2023-06-03,1235,not yet,n/a,not yet,n/a
css-shapes,97.93,2020-01-15,1320,2017-04-15,0,2018-09-04,0,2019-02-03,0,2019-07-05,0,2019-11-04,0,2020-02-04,20,2020-07-05,172,2020-08-04,202,2021-02-05,387,2022-07-03,900,not yet,n/a,not yet,n/a
css-snappoints,97.2,2020-01-15,1320,2019-10-06,0,2019-12-04,0,2020-08-04,202,2020-09-04,233,2020-11-05,295,2021-08-05,568,2022-02-04,751,2022-07-03,900,2023-06-03,1235,2023-06-03,1235,not yet,n/a,not yet,n/a
css-sticky,95.34,2021-05-27,822,2021-07-04,38,2021-07-04,38,2021-09-04,100,2021-11-04,161,2022-01-26,244,2022-02-04,253,2022-11-04,526,2023-06-03,737,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a
css-supports-api,98.06,2020-01-15,1320,2017-04-03,0,2017-04-15,0,2017-04-15,0,2017-08-04,0,2018-02-05,0,2018-08-03,0,2019-04-03,0,2020-09-04,233,2021-07-04,536,2022-07-03,900,2023-06-03,1235,not yet,n/a
css-text-align-last,93.09,2022-09-12,349,2022-10-04,22,2022-12-09,88,2023-02-08,149,2023-03-03,172,2023-05-07,237,2023-06-03,264,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a
css-text-orientation,97.77,2020-09-16,1075,2018-02-07,0,2018-02-07,0,2019-05-03,0,2019-09-05,0,2019-12-04,0,2020-03-05,0,2020-08-04,0,2020-10-03,17,2021-10-03,382,2023-06-03,990,not yet,n/a,not yet,n/a
css-textshadow,99.02,2020-01-15,1320,2013-06-02,0,2014-01-03,0,2014-11-02,0,2014-11-02,0,2015-04-02,0,2016-03-03,0,2016-10-03,0,2017-02-02,0,2017-04-03,0,2018-07-05,0,2019-04-14,0,2023-06-03,1235
css-variables,97.77,2017-10-17,2140,2018-02-07,113,2018-02-07,113,2018-07-05,261,2018-11-06,385,2019-04-03,533,2019-07-05,626,2019-12-04,778,2020-02-04,840,2020-11-05,1115,2023-06-03,2055,not yet,n/a,not yet,n/a
css-writing-mode,98.53,2017-09-19,2168,2015-11-03,0,2016-06-03,0,2017-02-02,0,2017-04-03,0,2017-09-04,0,2018-03-05,167,2018-11-06,413,2019-04-03,561,2019-11-04,776,2020-05-08,962,2022-07-03,1748,not yet,n/a
css3-tabsize,97.18,2021-08-10,747,2020-06-05,0,2020-07-05,0,2020-11-05,0,2020-11-05,0,2020-12-04,0,2021-02-05,0,2021-04-04,0,2021-12-03,115,2022-11-04,451,2023-06-03,662,not yet,n/a,not yet,n/a
datauri,99.53,2020-01-15,1320,2014-05-05,0,2015-04-02,0,2016-04-02,0,2016-07-06,0,2016-08-02,0,2016-12-03,0,2017-07-05,0,2017-10-04,0,2019-12-04,0,2020-08-04,202,2020-11-05,295,2021-11-04,659
date-tolocaledatestring,97.24,2019-04-02,1608,2019-05-07,35,2019-09-05,156,2020-03-05,338,2020-05-08,402,2020-09-04,521,2021-08-05,856,2021-11-04,947,2022-07-03,1188,2022-12-09,1347,2023-06-03,1523,not yet,n/a,not yet,n/a
details,98.48,2020-01-15,1320,2016-10-03,0,2016-11-03,0,2017-08-04,0,2017-10-04,0,2019-01-04,0,2019-07-05,0,2020-02-04,20,2020-07-05,172,2020-09-04,233,2021-04-04,445,2023-06-03,1235,not yet,n/a
dialog,95.35,2022-03-14,531,2022-05-05,52,2022-06-07,85,2022-07-03,111,2022-07-03,111,2022-09-02,172,2022-11-04,235,2023-04-04,386,2023-06-03,446,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a
document-scrollingelement,98.06,2016-08-02,2581,2018-01-03,519,2018-01-03,519,2018-02-05,552,2018-08-03,731,2018-12-04,854,2019-04-03,974,2019-08-06,1099,2020-01-03,1249,2020-03-05,1311,2022-07-03,2161,2023-06-03,2496,not yet,n/a
dom-manip-convenience,97.57,2018-04-30,1945,2018-02-07,0,2018-03-05,0,2019-02-03,279,2019-07-05,431,2019-09-05,493,2019-12-04,583,2020-03-05,675,2020-11-05,920,2022-07-03,1525,2023-06-03,1860,not yet,n/a,not yet,n/a
download,97.81,2019-09-19,1438,2017-06-04,0,2019-11-04,46,2019-12-04,76,2019-12-04,76,2020-02-04,138,2020-02-04,138,2020-04-15,209,2021-02-05,505,2021-07-04,654,2022-07-03,1018,not yet,n/a,not yet,n/a
element-closest,97.94,2017-04-11,2329,2017-10-05,177,2018-02-07,302,2018-06-04,419,2018-10-03,540,2019-03-03,691,2019-07-05,815,2019-12-04,967,2020-02-04,1029,2020-11-05,1304,2022-12-09,2068,not yet,n/a,not yet,n/a
element-scroll-methods,96.47,2021-04-26,853,2021-04-28,2,2021-07-04,69,2021-08-05,101,2021-09-04,131,2021-11-04,192,2022-02-04,284,2022-07-03,433,2023-03-03,676,2023-06-03,768,not yet,n/a,not yet,n/a,not yet,n/a
eme,97.72,2018-09-17,1805,2019-07-27,313,2020-05-11,602,2020-05-11,602,2020-05-11,602,2020-05-11,602,2020-05-11,602,2020-05-11,602,2020-11-05,780,2021-11-04,1144,2023-06-03,1720,not yet,n/a,not yet,n/a
es6-class,97.85,2016-12-16,2445,2018-02-05,416,2018-02-07,418,2018-06-04,535,2018-11-06,690,2019-03-16,820,2019-07-05,931,2019-12-04,1083,2020-02-04,1145,2020-11-05,1420,2023-06-03,2360,not yet,n/a,not yet,n/a
es6-generators,98.01,2016-09-20,2532,2017-08-07,321,2017-08-07,321,2018-03-05,531,2018-08-03,682,2018-11-06,777,2019-05-03,955,2019-09-05,1080,2020-01-03,1200,2020-05-25,1343,2022-07-03,2112,2023-06-03,2447,not yet,n/a
es6-module,97.29,2020-01-15,1320,2018-10-03,0,2019-04-03,0,2020-02-04,20,2020-03-05,50,2020-05-25,131,2020-10-03,262,2021-10-03,627,2022-07-03,900,2022-09-19,978,2023-06-03,1235,not yet,n/a,not yet,n/a
es6-module-dynamic-import,97.26,2020-01-15,1320,2019-07-05,0,2019-11-04,0,2020-07-05,172,2020-08-04,202,2020-10-03,262,2021-02-05,387,2021-11-04,659,2022-07-03,900,2022-11-04,1024,2023-06-03,1235,not yet,n/a,not yet,n/a
